,drugName,drugid,description,drugtype,maxPhase,withdrawn,blackBox,approvalYear,list_targets,list_diseases,has_any_sc_evidence,has_any_genetic_evidence,num_indications,mechanism,action_type,target_type
348,WARFARIN,CHEMBL1464,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1954 and has 9 approved and 58 investigational indications. This drug has a black box warning from the FDA.,,4.0,,True,1954,['ENSG00000167397'],"['EFO_0000275', 'HP_0004419', 'EFO_0003764', 'EFO_0006911', 'EFO_0003875', 'EFO_0002950', 'HP_0004936', 'EFO_0000685', 'MONDO_0005178', 'EFO_0003929', 'EFO_0004286', 'EFO_0002689', 'EFO_0003827', 'EFO_0000275', 'MONDO_0002009', 'EFO_0000319', 'EFO_1001161', 'HP_0001907', 'EFO_0003911', 'EFO_0000712', 'EFO_0000574', 'EFO_0003907', 'EFO_0004277', 'EFO_0000612', 'EFO_1001249', 'HP_0002140', 'EFO_0000612', 'EFO_0001073', 'HP_0001907', 'HP_0004936', 'EFO_0004239', 'EFO_0000384', 'EFO_0003914', 'HP_0004936', 'MONDO_0008315', 'EFO_0000616', 'EFO_0000712', 'EFO_0001645', 'HP_0004418', 'EFO_0000685', 'EFO_0001422', 'EFO_0004211', 'MONDO_0001134', 'MONDO_0004992', 'EFO_0001361', 'EFO_0003907', 'EFO_0003777', 'EFO_0000274', 'EFO_0000275', 'EFO_0000676', 'MP_0001914', 'MONDO_0005149', 'EFO_0000266', 'MONDO_0005180', 'EFO_0003144', 'HP_0001907', 'EFO_0000768', 'EFO_0000474', 'EFO_0000400', 'MONDO_0000831', 'MONDO_0004975', 'EFO_1000781', 'HP_0001873', 'EFO_0000729', 'MONDO_0002679', 'EFO_0001642', 'EFO_0002618', 'MONDO_0005148', 'EFO_0003827', 'EFO_1001375']",True,True,70,Vitamin k epoxide reductase complex subunit 1 isoform 1 inhibitor ,INHIBITOR ,single protein 
349,RIBAVIRIN,CHEMBL1643,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1985 and has 4 approved and 20 investigational indications. This drug has a black box warning from the FDA.,,4.0,,True,1985,['ENSG00000106348'],"['EFO_0001422', 'EFO_0000764', 'EFO_0006890', 'EFO_0003047', 'EFO_0000616', 'HP_0012115', 'MONDO_0100096', 'HP_0001873', 'EFO_0000222', 'EFO_0007299', 'EFO_0000694', 'EFO_0007328', 'EFO_0007338', 'EFO_1001413', 'MONDO_0002050', 'EFO_0004197', 'EFO_0007332', 'MONDO_0005147', 'EFO_0004220', 'MONDO_0007254', 'EFO_0000544', 'EFO_0007304', 'EFO_0004239', 'EFO_0000763']",True,False,24,Hepatitis C virus NS5B RNA-dependent RNA polymerase inhibitor Inosine-5'-monophosphate dehydrogenase 1 inhibitor ,INHIBITOR ,single protein 
350,2'-DEOXYTHIOGUANOSINE,CHEMBL3250476,Small molecule drug with a maximum clinical trial phase of II and has 1 investigational indication.,,2.0,,False,no approval year,[],['EFO_0003060'],False,False,1,,,
351,TENAPANOR HYDROCHLORIDE,CHEMBL3301627,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2019 and is indicated for constipation disorder and irritable bowel syndrome and has 2 investigational indications. This drug has a black box warning from the FDA.,,4.0,,True,2019,['ENSG00000066230'],"['EFO_0003884', 'MONDO_0002203', 'EFO_0000555', 'HP_0002905']",False,False,4,Sodium/hydrogen exchanger 3 inhibitor ,INHIBITOR ,single protein 
352,LUMRETUZUMAB,CHEMBL3707404,Antibody drug with a maximum clinical trial phase of I (across all indications) and has 3 investigational indications.,,1.0,,False,no approval year,['ENSG00000065361'],"['MONDO_0007254', 'EFO_0003060', 'EFO_0000616']",False,False,3,Receptor tyrosine-protein kinase erbB-3 inhibitor ,INHIBITOR ,single protein 
353,PIPERINE,CHEMBL43185,Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 3 investigational indications.,,2.0,,False,no approval year,[],"['HP_0002015', 'EFO_0003843', 'MONDO_0007915']",False,False,3,,,
354,FIRTECAN PEGOL,CHEMBL4594234,Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 3 investigational indications.,,2.0,,False,no approval year,[],"['EFO_0000574', 'MONDO_0007254', 'EFO_0000616']",False,False,3,,,
355,EFTILAGIMOD ALFA,CHEMBL4594557,Unknown drug with a maximum clinical trial phase of II (across all indications) and has 4 investigational indications.,,2.0,,False,no approval year,['ENSG00000089692'],"['EFO_0000681', 'MONDO_0007254', 'EFO_0000389', 'EFO_0000756']",False,False,4,Lymphocyte activation gene 3 protein vaccine antigen ,VACCINE ANTIGEN ,single protein 
356,TENOFOVIR,CHEMBL483,Small molecule drug with a maximum clinical trial phase of III (across all indications) and has 11 investigational indications.,,3.0,,False,no approval year,[],"['EFO_0007304', 'EFO_0000765', 'EFO_0000182', 'EFO_0002614', 'EFO_0000180', 'EFO_0004239', 'EFO_0000764', 'EFO_0000544', 'EFO_0004197', 'MONDO_0100096', 'EFO_0004220']",False,False,11,Human immunodeficiency virus type 1 reverse transcriptase inhibitor DNA polymerase/reverse transcriptase inhibitor ,INHIBITOR ,single protein 
357,RO-0622,CHEMBL519846,Small molecule drug with a maximum clinical trial phase of III and has 1 investigational indication.,,3.0,,False,no approval year,[],['MONDO_0100096'],False,False,1,Human immunodeficiency virus type 1 reverse transcriptase inhibitor Reverse transcriptase inhibitor Replicase polyprotein 1ab inhibitor ,INHIBITOR ,single protein 
358,ALMITRINE,CHEMBL1183717,Small molecule drug with a maximum clinical trial phase of IV (across all indications) and is indicated for respiratory system disease and has 2 investigational indications. It was withdrawn in at least one region.,,4.0,,False,no approval year,[],"['EFO_0000684', 'EFO_0009686', 'MONDO_0100096']",False,False,3,,,
359,FLUTICASONE PROPIONATE,CHEMBL1473,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1990 and has 12 approved and 15 investigational indications.,,4.0,,False,1990,['ENSG00000113580'],"['EFO_0000662', 'EFO_1001942', 'EFO_0000341', 'EFO_0006505', 'EFO_0007486', 'HP_0001742', 'EFO_1000024', 'EFO_0003956', 'EFO_0000464', 'EFO_0005854', 'EFO_0007227', 'MONDO_0100096', 'EFO_0000274', 'EFO_0000400', 'HP_0011950', 'EFO_0000701', 'EFO_1001417', 'EFO_0008521', 'HP_0100582', 'EFO_1000391', 'MONDO_0004979', 'EFO_0003918', 'EFO_0009536', 'HP_0010307', 'EFO_0004232', 'EFO_0007183', 'HP_0006536']",True,True,27,Glucocorticoid receptor agonist ,AGONIST ,single protein 
360,ENISAMIUM,CHEMBL1740071,Small molecule drug with a maximum clinical trial phase of III (across all indications) and has 3 investigational indications.,,3.0,,False,no approval year,[],"['EFO_0007328', 'MONDO_0100096', 'EFO_0000763']",False,False,3,,,
361,CLARITHROMYCIN,CHEMBL1741,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1991 and has 10 approved and 41 investigational indications.,,4.0,,False,1991,[],"['MONDO_0021107', 'EFO_1000961', 'MONDO_0001056', 'EFO_0000191', 'EFO_0007200', 'EFO_0007386', 'EFO_0003777', 'EFO_1001272', 'EFO_0000095', 'EFO_0000649', 'EFO_0000384', 'MONDO_0005180', 'EFO_0004607', 'EFO_0005952', 'HP_0011110', 'EFO_0006505', 'EFO_0001378', 'EFO_0006834', 'EFO_0004286', 'HP_0100806', 'MONDO_0000327', 'EFO_0003102', 'MONDO_0002258', 'EFO_0000217', 'EFO_0000544', 'MONDO_0008315', 'MONDO_0100096', 'EFO_0007361', 'MP_0001914', 'EFO_0007486', 'EFO_0000616', 'EFO_0000708', 'EFO_0003106', 'MONDO_0004979', 'EFO_0007183', 'EFO_0004992', 'MONDO_0019091', 'EFO_0009454', 'EFO_0007456', 'EFO_0009708', 'MONDO_0002009', 'MONDO_0002775', 'EFO_0000574', 'EFO_0003060', 'MONDO_0018044', 'EFO_0000180', 'MONDO_0018076', 'MONDO_0009061', 'MONDO_0004992', 'EFO_0000764', 'EFO_0000771']",False,False,51,Bacterial 70S ribosome inhibitor ,INHIBITOR ,protein nucleic-acid complex 
362,BELIMUMAB,CHEMBL1789843,Antibody drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2011 and has 3 approved and 15 investigational indications.,,4.0,,False,2011,['ENSG00000102524'],"['MONDO_0013730', 'EFO_0000685', 'EFO_0006803', 'MONDO_0007915', 'MONDO_0003783', 'EFO_0002689', 'EFO_0000464', 'MONDO_0005301', 'EFO_0000783', 'EFO_0005761', 'EFO_0000699', 'EFO_0004254', 'EFO_0007160', 'EFO_0004256', 'EFO_0000095', 'EFO_0000540', 'EFO_0000717', 'EFO_0004255']",True,False,18,Tumor necrosis factor ligand superfamily member 13B inhibitor ,INHIBITOR ,single protein 
363,CENPLACEL-L,CHEMBL2107867,Cell drug with a maximum clinical trial phase of II (across all indications) and has 3 investigational indications.,,2.0,,False,no approval year,[],"['EFO_0000384', 'DOID_13406', 'EFO_0000685']",False,False,3,,,
364,TALADEGIB,CHEMBL2142592,Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 5 investigational indications.,,2.0,,False,no approval year,['ENSG00000128602'],"['EFO_0000768', 'EFO_0009708', 'EFO_0000702', 'MONDO_0004992', 'EFO_0000616']",False,False,5,Smoothened homolog antagonist ,ANTAGONIST ,single protein 
365,LEDIPASVIR,CHEMBL2374220,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2014 and is indicated for chronic hepatitis c virus infection and hepatitis c virus infection and has 4 investigational indications.,,4.0,,False,2014,[],"['EFO_0004220', 'MONDO_0100096', 'EFO_0004197', 'EFO_0003047', 'EFO_0000574', 'EFO_0000544']",False,False,6,Nonstructural protein 5A inhibitor ,INHIBITOR ,single protein 
366,ABEMACICLIB,CHEMBL3301610,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2017 and has 5 approved and 46 investigational indications.,,4.0,,False,2017,"['ENSG00000135446', 'ENSG00000105810']","['EFO_0002517', 'EFO_0000616', 'EFO_0000182', 'EFO_0003060', 'EFO_0004284', 'EFO_0000588', 'MONDO_0008903', 'EFO_0002618', 'MONDO_0008170', 'EFO_0009708', 'EFO_0000702', 'MONDO_0008315', 'EFO_0000349', 'MONDO_0001187', 'EFO_0000632', 'EFO_0000181', 'EFO_0005701', 'EFO_0005543', 'MONDO_0100342', 'EFO_0003869', 'EFO_0003825', 'EFO_0001378', 'EFO_1001951', 'MONDO_0011962', 'EFO_0005537', 'EFO_0000574', 'MONDO_0002108', 'EFO_0003085', 'EFO_0006861', 'EFO_1001469', 'EFO_0000637', 'EFO_0002918', 'EFO_0005952', 'EFO_0000174', 'EFO_0001075', 'EFO_0000673', 'MONDO_0004992', 'EFO_0000389', 'EFO_0000313', 'EFO_0003833', 'EFO_0000756', 'EFO_1000026', 'MONDO_0007254', 'EFO_0000558', 'EFO_0000621', 'EFO_0000305', 'EFO_0000519', 'EFO_0003968', 'EFO_1001331', 'MONDO_0016642', 'MONDO_0018975']",True,False,51,Cyclin-dependent kinase 6 inhibitor Cyclin-dependent kinase 4 inhibitor ,INHIBITOR ,single protein 
367,TRADIPITANT,CHEMBL3544984,Small molecule drug with a maximum clinical trial phase of III (across all indications) and has 7 investigational indications.,,3.0,,False,no approval year,['ENSG00000115353'],"['EFO_0000274', 'EFO_1000948', 'EFO_0006928', 'HP_0000989', 'MONDO_0007079', 'EFO_1001917', 'MONDO_0100096']",False,False,7,Neurokinin 1 receptor antagonist ,ANTAGONIST ,single protein 
368,INOSINE PRANOBEX,CHEMBL3833327,Small molecule drug with a maximum clinical trial phase of IV (across all indications) and is indicated for viral disease and has 1 investigational indication.,,4.0,,False,no approval year,[],"['MONDO_0100096', 'EFO_0000763']",False,False,2,,,
369,SAXAGLIPTIN,CHEMBL385517,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2009 and is indicated for type 2 diabetes mellitus and diabetes mellitus and has 5 investigational indications.,,4.0,,False,2009,['ENSG00000197635'],"['MONDO_0005148', 'EFO_0008583', 'EFO_0000660', 'MONDO_0005148', 'MONDO_0005147', 'EFO_0002546', 'EFO_0000400']",False,False,7,Dipeptidyl peptidase IV inhibitor ,INHIBITOR ,single protein 
370,PRALUZATAMAB RAVTANSINE,CHEMBL4297736,Antibody drug with a maximum clinical trial phase of II and has 1 investigational indication.,,2.0,,False,no approval year,"['ENSG00000188229', 'ENSG00000101162', 'ENSG00000198033', 'ENSG00000127824', 'ENSG00000258947', 'ENSG00000167552', 'ENSG00000104833', 'ENSG00000261456', 'ENSG00000196230', 'ENSG00000123416', 'ENSG00000167553', 'ENSG00000152086', 'ENSG00000137267', 'ENSG00000137285', 'ENSG00000176014', 'ENSG00000170017']",['MONDO_0007254'],True,False,1,Tubulin inhibitor CD166 antigen binding agent ,INHIBITOR BINDING AGENT ,protein complex group single protein 
371,MATRIX-M1 ADJUVANT,CHEMBL4650407,Unknown drug with a maximum clinical trial phase of III (across all indications) and has 7 investigational indications.,,3.0,,False,no approval year,[],"['MONDO_0100096', 'EFO_0001068', 'EFO_1001413', 'EFO_0007328', 'EFO_0000694', 'EFO_0007243', 'EFO_0007444']",False,False,7,,,
372,EVEXOMOSTAT,CHEMBL4802217,Unknown drug with a maximum clinical trial phase of I and has 1 investigational indication.,,1.0,,False,no approval year,[],['MONDO_0007254'],False,False,1,,,
373,VIMNERIXIN,CHEMBL5095217,Unknown drug with a maximum clinical trial phase of I and has 1 investigational indication.,,1.0,,False,no approval year,[],['EFO_0000341'],False,False,1,,,
374,ACAZICOLCEPT,CHEMBL5095304,Protein drug with a maximum clinical trial phase of II (across all indications) and has 2 investigational indications.,,2.0,,False,no approval year,[],"['MONDO_0007915', 'MONDO_0013730']",False,False,2,,,
375,DAPSONE,CHEMBL1043,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1979 and has 3 approved and 14 investigational indications.,,4.0,,False,1979,[],"['EFO_0000764', 'EFO_1000760', 'EFO_1000680', 'EFO_1000684', 'EFO_0003060', 'EFO_0000712', 'EFO_0007448', 'EFO_0004719', 'EFO_0009448', 'HP_0001945', 'EFO_0007444', 'EFO_0003894', 'MONDO_0019338', 'EFO_0007445', 'EFO_0001068', 'EFO_0001054', 'MONDO_0100096']",False,False,17,Dihydropteroate synthase 1 inhibitor ,INHIBITOR ,single protein 
376,OSELTAMIVIR PHOSPHATE,CHEMBL1200340,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1999 and is indicated for chronic kidney disease and influenza and has 1 investigational indication.,,4.0,,False,1999,[],"['EFO_0000763', 'EFO_0003884', 'EFO_0007328']",False,False,3,Neuraminidase inhibitor ,INHIBITOR ,single protein 
377,ISOSULFAN BLUE,CHEMBL1201275,Small molecule drug with a maximum clinical trial phase of IV that was first approved in 1981 and has 1 investigational indication.,,4.0,,False,1981,[],['MONDO_0007254'],False,False,1,,,
378,VORAPAXAR SULFATE,CHEMBL2107386,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2014 and has 3 approved and 1 investigational indication. This drug has a black box warning from the FDA.,,4.0,,True,2014,['ENSG00000181104'],"['EFO_0000712', 'EFO_0000612', 'EFO_0005672', 'EFO_0004265']",False,False,4,Proteinase-activated receptor 1 antagonist ,ANTAGONIST ,single protein 
379,ALPELISIB,CHEMBL2396661,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2019 and has 5 approved and 16 investigational indications.,,4.0,,False,2019,['ENSG00000121879'],"['MONDO_0011962', 'EFO_0001421', 'MONDO_0004992', 'EFO_1001951', 'EFO_0000181', 'EFO_0001378', 'EFO_0005922', 'EFO_1001931', 'EFO_0004284', 'EFO_0002618', 'EFO_1000657', 'EFO_0000707', 'EFO_0003869', 'MONDO_0011719', 'MONDO_0044704', 'EFO_0000305', 'MONDO_0001056', 'MONDO_0016642', 'EFO_0000616', 'MONDO_0008170', 'MONDO_0007254']",False,False,21,PI3-kinase p110-alpha subunit inhibitor ,INHIBITOR ,single protein 
380,GILTERITINIB,CHEMBL3301622,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2018 and has 3 approved and 6 investigational indications. This drug has a black box warning from the FDA.,,4.0,,True,2018,"['ENSG00000122025', 'ENSG00000167601']","['EFO_1000131', 'EFO_0000198', 'EFO_0001421', 'EFO_0000222', 'EFO_0003060', 'EFO_0003086', 'MONDO_0004643', 'EFO_0000222', 'EFO_0000616']",False,False,9,Tyrosine-protein kinase receptor UFO inhibitor Tyrosine-protein kinase receptor FLT3 inhibitor ,INHIBITOR ,single protein 
381,ABT 737,CHEMBL376408,Small molecule drug with a maximum clinical trial phase of I and has 1 investigational indication.,,1.0,,False,no approval year,[],['MONDO_0007254'],False,False,1,,,
382,CHLORINE DIOXIDE,CHEMBL4297725,Unknown drug with a maximum clinical trial phase of II (across all indications) and has 3 investigational indications.,,2.0,,False,no approval year,[],"['MONDO_0002038', 'MONDO_0100096', 'EFO_0000546']",False,False,3,,,
383,FENTANYL CITRATE,CHEMBL688,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1968 and is indicated for cancer and pain and has 8 investigational indications. This drug has a black box warning from the FDA.,,4.0,,True,1968,['ENSG00000112038'],"['HP_0003419', 'EFO_0005762', 'MONDO_0004992', 'EFO_0003843', 'EFO_0004244', 'HP_0002094', 'HP_0012532', 'EFO_1001139', 'EFO_0009727', 'EFO_0000546']",False,False,10,Mu opioid receptor agonist ,AGONIST ,single protein 
384,MOXIFLOXACIN HYDROCHLORIDE,CHEMBL1200735,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1999 and has 5 approved and 8 investigational indications. This drug has a black box warning from the FDA.,,4.0,,True,1999,[],"['EFO_0000544', 'EFO_1001388', 'EFO_0007486', 'EFO_0003106', 'MONDO_0016899', 'MONDO_0007254', 'EFO_0005741', 'MONDO_0005129', 'MONDO_0009061', 'EFO_1000829', 'EFO_0006505', 'EFO_0003102', 'MONDO_0013730']",False,False,13,Topoisomerase IV inhibitor Bacterial DNA gyrase inhibitor ,INHIBITOR ,protein complex 
385,METRONIDAZOLE,CHEMBL137,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1963 and has 9 approved and 44 investigational indications. This drug has a black box warning from the FDA.,,4.0,,True,1963,[],"['MONDO_0002041', 'MONDO_0002026', 'EFO_0003030', 'EFO_0000095', 'EFO_1000760', 'EFO_1000961', 'EFO_0003921', 'EFO_0009536', 'EFO_0009365', 'EFO_0005952', 'EFO_1001314', 'EFO_0008572', 'EFO_0000574', 'EFO_0000764', 'HP_0001298', 'EFO_0000544', 'EFO_1000657', 'EFO_0007521', 'EFO_1000874', 'EFO_0000649', 'EFO_0000384', 'EFO_0003060', 'HP_0100806', 'EFO_0003102', 'EFO_0000365', 'EFO_0002618', 'HP_0010769', 'EFO_0007149', 'EFO_0009784', 'MONDO_0002234', 'EFO_1001388', 'EFO_0004253', 'EFO_0008517', 'EFO_0004268', 'EFO_1001391', 'EFO_0000701', 'EFO_0001061', 'EFO_0009130', 'EFO_0000771', 'EFO_0009552', 'MONDO_0002508', 'DOID_10718', 'MONDO_0003632', 'EFO_0000729', 'DOID_1947', 'EFO_0009523', 'EFO_0004142', 'EFO_0000544', 'EFO_0007381', 'EFO_0003932', 'EFO_0003106', 'HP_0002014', 'EFO_0004607']",False,False,53,,,
386,MERCAPTOPURINE,CHEMBL1425,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1953 and has 4 approved and 19 investigational indications.,,4.0,,False,1953,['ENSG00000128059'],"['EFO_0000574', 'MONDO_0019460', 'EFO_0000565', 'EFO_0000224', 'EFO_0003833', 'MONDO_0003268', 'EFO_0002501', 'EFO_0000729', 'EFO_0004289', 'MONDO_0000870', 'EFO_0000209', 'EFO_0000616', 'MONDO_0044917', 'EFO_0000094', 'EFO_0000519', 'EFO_0000384', 'EFO_0003872', 'MONDO_0000873', 'EFO_0002499', 'EFO_1000318', 'EFO_0000220', 'EFO_0000222', 'EFO_0000309']",False,False,23,Amidophosphoribosyltransferase inhibitor ,INHIBITOR ,single protein 
387,ERTUMAXOMAB,CHEMBL2108029,Antibody drug with a maximum clinical trial phase of II (across all indications) and has 2 investigational indications.,,2.0,,False,no approval year,"['ENSG00000141736', 'ENSG00000198851']","['MONDO_0007254', 'EFO_0000616']",True,False,2,T-cell surface glycoprotein CD3 epsilon chain cross-linking agent Receptor protein-tyrosine kinase erbB-2 cross-linking agent ,CROSS-LINKING AGENT ,single protein 
388,GUSELKUMAB,CHEMBL2364648,Antibody drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2017 and has 5 approved and 12 investigational indications.,,4.0,,False,2017,"['ENSG00000113302', 'ENSG00000110944']","['EFO_0008573', 'EFO_0003778', 'EFO_0000676', 'MONDO_0015597', 'EFO_0000540', 'EFO_0000685', 'MONDO_0100017', 'EFO_0005761', 'EFO_1001494', 'EFO_1001209', 'EFO_0000384', 'Orphanet_733', 'EFO_1000710', 'EFO_0000717', 'EFO_0000729', 'EFO_0001060', 'EFO_0002609']",False,True,17,Interleukin-23 inhibitor ,INHIBITOR ,protein complex 
389,FISETIN,CHEMBL31574,Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 6 investigational indications.,,2.0,,False,no approval year,[],"['EFO_1000654', 'MONDO_0005178', 'EFO_0000694', 'EFO_0004143', 'EFO_0004616', 'MONDO_0100096']",False,False,6,,,
390,OLMUTINIB,CHEMBL3786343,Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 2 investigational indications.,,2.0,,False,no approval year,['ENSG00000146648'],"['EFO_0000616', 'EFO_0003060']",False,True,2,Epidermal growth factor receptor erbB1 inhibitor ,INHIBITOR ,single protein 
391,MAVEROPEPIMUT-S,CHEMBL4594319,Protein drug with a maximum clinical trial phase of II (across all indications) and has 5 investigational indications.,,2.0,,False,no approval year,[],"['MONDO_0002158', 'MONDO_0008170', 'MONDO_0007254', 'MONDO_0002087', 'EFO_0000403']",False,False,5,,,
392,VEMURAFENIB,CHEMBL1229517,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2011 and has 5 approved and 16 investigational indications.,,4.0,,False,2011,['ENSG00000157764'],"['EFO_0000389', 'EFO_0000616', 'EFO_0000326', 'EFO_0000756', 'MONDO_0002108', 'EFO_0003060', 'EFO_1000956', 'EFO_1000209', 'MONDO_0002898', 'EFO_0000222', 'EFO_0002892', 'HP_0100727', 'EFO_0000365', 'MONDO_0004992', 'EFO_0002618', 'EFO_0002617', 'EFO_0001378', 'EFO_0000574', 'EFO_1000318', 'EFO_0009259', 'EFO_1001951']",False,True,21,Serine/threonine-protein kinase B-raf inhibitor ,INHIBITOR ,single protein 
393,TEZACITABINE,CHEMBL2105467,Small molecule drug with a maximum clinical trial phase of II (across all indications) and has 5 investigational indications.,,2.0,,False,no approval year,"['ENSG00000167325', 'ENSG00000048392', 'ENSG00000171848']","['MONDO_0004992', 'EFO_0004142', 'EFO_0000228', 'EFO_0003897', 'EFO_0002916']",False,False,5,Ribonucleoside-diphosphate reductase RR1 inhibitor ,INHIBITOR ,protein complex group 
394,BB-10901,CHEMBL2109484,Antibody drug with a maximum clinical trial phase of II (across all indications) and has 2 investigational indications.,,2.0,,False,no approval year,['ENSG00000149294'],"['EFO_0001378', 'EFO_0000702']",True,False,2,Neural cell adhesion molecule 1 binding agent ,BINDING AGENT ,single protein 
395,LANADELUMAB,CHEMBL3545189,Antibody drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2018 and is indicated for hereditary angioedema and has 4 investigational indications.,,4.0,,False,2018,['ENSG00000164344'],"['EFO_0000546', 'EFO_0005532', 'MONDO_0019623', 'EFO_0005251', 'MONDO_0100096']",False,False,5,Plasma kallikrein inhibitor ,INHIBITOR ,single protein 
396,TOCOTRIENOL,CHEMBL4297330,Small molecule drug with a maximum clinical trial phase of III (across all indications) and has 4 investigational indications.,,3.0,,False,no approval year,[],"['HP_0002140', 'MONDO_0008170', 'MONDO_0007254', 'EFO_1001951']",False,False,4,,,
397,UPANOVIMAB,CHEMBL4802216,Antibody drug with a maximum clinical trial phase of II and has 1 investigational indication.,,2.0,,False,no approval year,[],['MONDO_0100096'],False,False,1,,,
398,P-TOLUENESULFONAMIDE,CHEMBL574,Small molecule drug with a maximum clinical trial phase of III (across all indications) and has 3 investigational indications.,,3.0,,False,no approval year,[],"['EFO_0000182', 'EFO_0003060', 'EFO_0000616']",False,False,3,,,
399,CHLOROQUINE,CHEMBL76,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1949 and is indicated for malaria and has 24 investigational indications.,,4.0,,False,1949,[],"['EFO_0001068', 'MONDO_0007254', 'EFO_0005774', 'EFO_0004227', 'EFO_0000432', 'EFO_0000702', 'EFO_0001068', 'EFO_0007445', 'EFO_0002618', 'EFO_0007444', 'MONDO_0100096', 'EFO_0001378', 'MONDO_0007915', 'EFO_0002950', 'EFO_0000764', 'EFO_0000275', 'EFO_0007328', 'EFO_0000685', 'MONDO_0100096', 'EFO_0000685', 'MONDO_0004992', 'MONDO_0011382', 'EFO_0000694', 'EFO_0000764', 'EFO_0000765', 'EFO_0007541', 'EFO_1001465', 'EFO_0000519', 'MONDO_0100096']",False,False,29,,,
400,LOPERAMIDE,CHEMBL841,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1976 and is indicated for diarrhea and has 13 investigational indications. This drug has a black box warning from the FDA.,,4.0,,True,1976,['ENSG00000112038'],"['EFO_0000305', 'MONDO_0004565', 'EFO_0000616', 'EFO_0009130', 'MONDO_0007254', 'EFO_0009523', 'EFO_0000512', 'MONDO_0004992', 'EFO_0003060', 'HP_0000964', 'HP_0002014', 'EFO_0003869', 'HP_0002014', 'EFO_0003843']",False,False,14,Mu opioid receptor agonist ,AGONIST ,single protein 
401,ISOFLURANE,CHEMBL1256,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 1979 and has 6 investigational indications.,,4.0,,False,1979,"['ENSG00000100433', 'ENSG00000169427', 'ENSG00000022355', 'ENSG00000145864', 'ENSG00000113327', 'ENSG00000166206', 'ENSG00000109158', 'ENSG00000182256', 'ENSG00000268089', 'ENSG00000011677', 'ENSG00000094755', 'ENSG00000187730', 'ENSG00000163285', 'ENSG00000163288', 'ENSG00000102287', 'ENSG00000151834', 'ENSG00000186297', 'ENSG00000145863', 'ENSG00000171303', 'ENSG00000145888', 'ENSG00000109738', 'ENSG00000082482', 'ENSG00000186795']","['EFO_0005611', 'HP_0000023', 'EFO_0009686', 'MONDO_0100096', 'EFO_0000713', 'EFO_0003777']",True,False,6,Glycine receptor (alpha-1/beta) positive modulator Potassium channel subfamily K member 9 opener Potassium channel subfamily K member 18 opener Potassium channel subfamily K member 2 opener GABA-A receptor; anion channel positive allosteric modulator Potassium channel subfamily K member 3 opener Potassium channel subfamily K member 10 opener ,POSITIVE MODULATOR OPENER POSITIVE ALLOSTERIC MODULATOR ,protein complex single protein protein complex group 
402,DARUNAVIR,CHEMBL1323,Small molecule drug with a maximum clinical trial phase of IV (across all indications) that was first approved in 2006 and has 5 approved and 9 investigational indications.,,4.0,,False,2006,[],"['EFO_0003047', 'EFO_0000763', 'MONDO_0100096', 'EFO_0000544', 'EFO_0000764', 'EFO_0000180', 'EFO_0007448', 'EFO_0000180', 'EFO_0000764', 'EFO_0002614', 'MONDO_0004976', 'EFO_0000544', 'MONDO_0021094', 'EFO_0000765']",False,False,14,Human immunodeficiency virus type 1 protease inhibitor ,INHIBITOR ,single protein 
